"FilePath","FileName","Extension","Directory","Size","SizeMB","SHA256","MD5","Width","Height","PixelFormat","Orientation","Manufacturer","Model","DateTime","DateTimeOriginal","DateTimeDigitized","CreationTime","LastWriteTime","LastAccessTime","Error"
"H:\My Drive\Happy Place Media\Website Library\Projects\Davis Bathroom Remodel\?? DROP NEW PHOTO HERE\BATHROOM_WALL.png","BATHROOM_WALL.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\Davis Bathroom Remodel\?? DROP NEW PHOTO HERE","1656260","1.58","7804099B3A90F250341A8011CEAACE8CFB56A02C30442C1239CEBF1132C553FF","5002FAB27FF868CDD9C44A966ED186E4","1280","960","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\Martinez Pergola\?? DROP NEW PHOTO HERE\HOMESERVICEPROJECTPERGOLAS.jpg","HOMESERVICEPROJECTPERGOLAS.jpg",".jpg","H:\My Drive\Happy Place Media\Website Library\Projects\Martinez Pergola\?? DROP NEW PHOTO HERE","2081361","1.98","0AB88793F39B024E9657F4B52228B316A64ED58227BABD98F05B659272F04B14","DA1684B44DD4EEFCED45DE65C904B6AD","4367","3275","Format24bppRgb","Unknown","N/A","N/A","N/A","2026:03:17 19:03:40","N/A","7/29/2026 5:04:52 PM","7/22/2026 1:42:40 PM","7/29/2026 5:04:52 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\Martinez Pergola\?? OLD PHOTOS\1.png","1.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\Martinez Pergola\?? OLD PHOTOS","2637377","2.52","F8A835AFBE43E1C4787FB5235B24C8FAC661905B49C5A00BAE7BF22EA2D80B67","156DCA09A6A16F058A22B881A499738F","1448","1086","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 5:04:52 PM","7/23/2026 6:34:25 PM","7/29/2026 5:04:52 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence\FENCE BUILD.jpg","FENCE BUILD.jpg",".jpg","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence","679283","0.65","FDE707D0E89F57292087636F44C2E8A580ADD68C1BDF6A3F8573A15BC92623CE","BDD2DE391261CD0F879BFF255754DD2A","1280","1436","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:48 PM","7/29/2026 9:23:48 PM","7/29/2026 9:23:48 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence\FENCEREBUILDMATCHINGSTAIN.png","FENCEREBUILDMATCHINGSTAIN.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\johnson-cedar-fence","2014324","1.92","E4DAE37BB90595BBE466680B3295956F8A58A4589C5CE26C60AD7D4088E9535B","E03E06EF17E7F9AB6C8AE9D4D42C986B","1280","1008","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:50 PM","7/29/2026 9:23:50 PM","7/29/2026 9:23:50 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins\FINISHEDCARPENTRY0.png","FINISHEDCARPENTRY0.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins","170191","0.16","C16F37D656C830146EE3F2B54ED0B62C5D821952C06B7E85CB9C465672CD093E","7D807DF977595FA04ACBAD9D72F02BEE","1280","823","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:51 PM","7/29/2026 9:23:51 PM","7/29/2026 9:23:51 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins\FINISHEDCARPENTRY.png","FINISHEDCARPENTRY.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\smith-built-ins","2563271","2.44","89A9F5D4BB013FA3978D767755FBFE05B11C3C0330CA6CF7AC02FB0D011BE90E","C200B8E3AB4CA0FBACB30A1DFFF8A6CD","1280","1078","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:52 PM","7/29/2026 9:23:52 PM","7/29/2026 9:23:52 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\FLOOR0.jpg","FLOOR0.jpg",".jpg","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs","376870","0.36","EB41507F5CEA45025EF68427CD9416C932FFC12033AD9BC1201F8504FBBBEE6E","697A15AAA4407B4FAE7A525688B6D1D9","1280","1017","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:53 PM","7/29/2026 9:23:53 PM","7/29/2026 9:23:53 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\TRIMREPAIR.png","TRIMREPAIR.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs","3272275","3.12","5358901C87CD8FC7A4F665825B65E576D51B671EC8D1C71CA256ED6D90218657","31D1F3BA913063458024029DB146883B","1280","1280","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:54 PM","7/29/2026 9:23:54 PM","7/29/2026 9:23:54 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\DRYWALL.png","DRYWALL.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs","2817979","2.69","BB60C0FF212D897F3AB4B5101D664A2613A98D70F1C96C18FACF2DC0AD0A642C","B6ABCA2610DAF7FB317692D451381A43","1280","1600","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:56 PM","7/29/2026 9:23:56 PM","7/29/2026 9:23:56 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\FLOOR.png","FLOOR.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs","1546375","1.47","263A496C4392923E59D82737EA296A7C548A1DC8571A322013C52B99001AD118","52043860BB409CA3B74828991E94BD04","1280","823","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:57 PM","7/29/2026 9:23:57 PM","7/29/2026 9:23:57 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs\GUTTERCLEANING.jpg","GUTTERCLEANING.jpg",".jpg","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\wilson-home-repairs","163066","0.16","39782328BECB886ACB5FCCA700A27A746A19F299F0354CAC7939AA08C5D663C0","58F209505668BFF2F194B027291A1656","1280","1352","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:23:58 PM","7/29/2026 9:23:59 PM","7/29/2026 9:23:58 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\davis-bathroom-remodel\BATHROOM_WALL.png","BATHROOM_WALL.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\davis-bathroom-remodel","1656260","1.58","7804099B3A90F250341A8011CEAACE8CFB56A02C30442C1239CEBF1132C553FF","5002FAB27FF868CDD9C44A966ED186E4","1280","960","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:24:00 PM","7/29/2026 9:24:00 PM","7/29/2026 9:24:00 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\martinez-pergola\1.png","1.png",".png","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\martinez-pergola","2637377","2.52","F8A835AFBE43E1C4787FB5235B24C8FAC661905B49C5A00BAE7BF22EA2D80B67","156DCA09A6A16F058A22B881A499738F","1448","1086","Format24bppRgb","Unknown","N/A","N/A","N/A","N/A","N/A","7/29/2026 9:24:01 PM","7/29/2026 9:24:01 PM","7/29/2026 9:24:01 PM",""
"H:\My Drive\Happy Place Media\Website Library\Projects\_archive\martinez-pergola\HOMESERVICEPROJECTPERGOLAS.jpg","HOMESERVICEPROJECTPERGOLAS.jpg",".jpg","H:\My Drive\Happy Place Media\Website Library\Projects\_archive\martinez-pergola","2081361","1.98","0AB88793F39B024E9657F4B52228B316A64ED58227BABD98F05B659272F04B14","DA1684B44DD4EEFCED45DE65C904B6AD","4367","3275","Format24bppRgb","Unknown","N/A","N/A","N/A","2026:03:17 19:03:40","N/A","7/29/2026 9:24:02 PM","7/29/2026 9:24:02 PM","7/29/2026 9:24:02 PM",""
"H:\My Drive\Happy Place Media\Website Library\Brand\?? DROP BRAND PHOTOS HERE\hero.jpeg","hero.jpeg",".jpeg","H:\My Drive\Happy Place Media\Website Library\Brand\?? DROP BRAND PHOTOS HERE","212187","0.2","A3AE720426C9909B3D4386C52CE1404262F1FAD96D90D2D5FE9AC0EA35FE4F0C","54AC896CA0F15143531DE9BD3ED6A31B","480","640","Format24bppRgb","Normal","N/A","N/A","N/A","N/A","N/A","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM",""
"H:\My Drive\Happy Place Media\Website Library\Brand\?? DROP BRAND PHOTOS HERE\portrait.jpeg","portrait.jpeg",".jpeg","H:\My Drive\Happy Place Media\Website Library\Brand\?? DROP BRAND PHOTOS HERE","42429","0.04","7635390DDB962CD041829AAADBD3195B41156CE38BFEB466ED53F54C76FD2E62","8671ED7043730055BF366B58E90289D5","640","427","Format24bppRgb","Normal","N/A","N/A","N/A","N/A","N/A","7/29/2026 5:04:52 PM","7/27/2026 4:02:43 PM","7/29/2026 5:04:52 PM",""
